Simbol: -54, Cod: 1000
Simbol: -80, Cod: 1001
Simbol: 0, Cod: 1002
Simbol: 0B11111, Cod: 1003
Simbol: 0b0101, Cod: 1004
Simbol: 0xAB, Cod: 1005
Simbol: 1, Cod: 1006
Simbol: 20, Cod: 1007
Simbol: 4, Cod: 1008
Simbol: 5, Cod: 1009
Simbol: _b34, Cod: 1010
Simbol: a, Cod: 1011
Simbol: b, Cod: 1012
Simbol: b34, Cod: 1013
Simbol: cmmdc, Cod: 1014
Simbol: double, Cod: 1015
Simbol: i, Cod: 1016
Simbol: mean, Cod: 1017
Simbol: messi, Cod: 1018
Simbol: n, Cod: 1019
Simbol: sgsgsdgsgum, Cod: 1020
Simbol: sum, Cod: 1021
